customer_id,full_name,email,signup_date,country,age,last_purchase_amount,loyalty_tier
1001,Marie Dupont,,2025-11-03,FR,29.0,120.5,GOLD
1002,John Smith,,2025-10-15,FRANCE,34.0,89.9,SILVER
1003,,,,FR,27.0,45.0,BRONZE
1004,Pedro García,,,ES,,0.0,SILVER
1005,Li Wei,,2025-09-12,CN,41.0,,GOLD
1006,Chloé Martin,,2025-09-12,FR,,15.0,PLATINUM
1007,Ahmed Ben Ali,,2024-02-29,TN,25.0,300.0,GOLD
1008,Sarah Connor,,2025-08-01,UK,,55.0,SILVER
1009,Jean Dupont,,2025-07-20,FR,31.0,,BRONZE
1010,Anna Müller,,2025-07-18,DE,28.0,19.99,SILVER
1011,Marie Dupont,,2025-11-03,FR,29.0,120.5,GOLD
1012,Tom,,2025-06-30,US,,10.0,BRONZE
1013,Inès Dubois,,2025-06-15,FRA,33.0,9999999.99,GOLD
1014,Carlos Lopez,,2025-05-10,ES,40.0,12.5,SILVER
1015,Nina Rossi,,2025-05-10,IT,39.0,12.0,UNKNOWN
1016,Zoé,,2025-04-01,FR,,5.0,BRONZE
1017,,,2025-03-22,FR,22.0,25.0,SILVER
1018,Jane Doe,,,USA,30.0,70.0,GOLD
1019,Émile Moreau,,2025-01-15,FR,30.0,0.0,BRONZE
1020,Lucie Petit,,2025-01-14,FR,30.0,0.0,BRONZE
